Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Major Retail Store,SAFEWAY JASPER GATES #8905,15007 - STONY PLAIN ROAD NW,144541882-001,ISSUED,"Nov 10, 2021","Dec 24, 2022",Stony Plain Road and Area,4580,West Jasper Place,Nakota Isga,53.539722,-113.580245,"(53.53972173468595, -113.58024519464577)",1,POINT (-113.58024519464577 53.53972173468595)
Major Retail Store,SAFEWAY MILLBOURNE #8908,"100, 1 - MILLBOURNE SHOPPING CENTRE NW",144626109-001,ISSUED,"Nov 03, 2021","Dec 16, 2022",,6400,Lee Ridge,Karhiio,53.472321,-113.450288,"(53.47232073356031, -113.45028784130007)",1,POINT (-113.45028784130007 53.47232073356031)
Major Retail Store,SAFEWAY SOUTHGATE #8904,"100A, 5015 - 111 STREET NW",144620721-001,ISSUED,"Nov 03, 2021","Dec 16, 2022",,5170,Empire Park,papastew,53.485739,-113.513544,"(53.485738714734964, -113.5135438346477)",1,POINT (-113.5135438346477 53.485738714734964)
Major Retail Store,SAFEWAY WESTMOUNT CENTRE #8891,"601, 1 - WESTMOUNT SHOPPING CENTRE NW",144629089-001,ISSUED,"Nov 18, 2021","Dec 16, 2022",The Crossroads,3450,Woodcroft,Anirniq,53.561378,-113.553508,"(53.56137799967168, -113.55350828659408)",1,POINT (-113.55350828659408 53.56137799967168)
Major Retail Store,SAFEWAY COLISEUM #8866,8118 - 118 AVENUE NW,144626628-001,ISSUED,"Nov 09, 2021","Dec 11, 2022",Alberta Avenue,1100,Eastwood,Métis,53.571193,-113.466168,"(53.57119333601234, -113.46616801838249)",1,POINT (-113.46616801838249 53.57119333601234)
Major Retail Store,SAFEWAY WINDERMERE #8906,5110 - WINDERMERE BOULEVARD NW,144624322-001,ISSUED,"Nov 03, 2021","Dec 16, 2022",,5505,Ambleside,pihêsiwin,53.43606,-113.603413,"(53.43605951416879, -113.60341260979266)",1,POINT (-113.60341260979266 53.43605951416879)
Major Retail Store,SAFEWAY JASPER,12210 - JASPER AVENUE NW,405023578-002,ISSUED,"Nov 30, 2021","Nov 29, 2022",124 Street and Area,1150,Oliver,O-day'min,53.541647,-113.533229,"(53.541646601834046, -113.53322896404885)",1,POINT (-113.53322896404885 53.541646601834046)
Major Retail Store,WAL-MART SUPERCENTER,9304 - 135 AVENUE NW,126690498-001,ISSUED,"Jun 21, 2021","Jul 25, 2022",,2290,Glengarry,tastawiyiniwak,53.598625,-113.490293,"(53.5986245967341, -113.49029349397158)",1,POINT (-113.49029349397158 53.5986245967341)
Major Retail Store,WAL-MART SUPERCENTRE,3931 - CALGARY TRAIL NW,120262210-006,ISSUED,"Dec 29, 2021","Jan 29, 2023",,5120,Calgary Trail South,Karhiio,53.473026,-113.493848,"(53.47302594851224, -113.49384819365255)",1,POINT (-113.49384819365255 53.47302594851224)
Major Retail Store,WAL-MART,16940 - 127 STREET NW,102985973-009,RENEWAL NOTICE,"Dec 31, 2020","Jan 23, 2022",,3460,Albany,Anirniq,53.631164,-113.543114,"(53.63116364100649, -113.5431142289646)",1,POINT (-113.5431142289646 53.63116364100649)
Major Retail Store,WAL-MART STORE #3028,13703 - 40 STREET NW,24208356-001,ISSUED,"Sep 16, 2021","Oct 08, 2022",,2145,Clareview Town Centre,Dene,53.599865,-113.401549,"(53.599864812206214, -113.40154945608934)",1,POINT (-113.40154945608934 53.599864812206214)
Major Retail Store,WAL-MART #1148,"605, 1 - WESTMOUNT SHOPPING CENTRE NW",133392858-001,ISSUED,"Jan 25, 2021","Feb 14, 2022",The Crossroads,3450,Woodcroft,Anirniq,53.561378,-113.553508,"(53.56137799967168, -113.55350828659408)",1,POINT (-113.55350828659408 53.56137799967168)
Major Retail Store,WAL-MART STORE #3027,18521 - STONY PLAIN ROAD NW,7266002-002,ISSUED,"Nov 17, 2021","Dec 22, 2022",,4400,Place LaRue,Nakota Isga,53.539484,-113.643353,"(53.53948352457253, -113.64335324222213)",1,POINT (-113.64335324222213 53.53948352457253)
Major Retail Store,WAL-MART STORE #3026,"1000, 1 - CAPILANO MALL SHOPPING CENTRE NW",7266143-001,ISSUED,"Nov 29, 2021","Dec 31, 2022",,6550,Ottewell,Métis,53.539385,-113.421645,"(53.539384736623305, -113.42164472809817)",1,POINT (-113.42164472809817 53.539384736623305)
Major Retail Store,WAL-MART #1094,6110 - CURRENTS DRIVE NW,82796543-001,ISSUED,"Dec 16, 2021","Jan 07, 2023",,4013,Anthony Henday Terwillegar,pihêsiwin,53.437219,-113.603432,"(53.43721868477137, -113.60343151403254)",1,POINT (-113.60343151403254 53.43721868477137)
Major Retail Store,WAL-MART #3029,1203 - PARSONS ROAD NW,74899401-001,ISSUED,"Mar 09, 2021","Mar 31, 2022",,6195,South Edmonton Common,Karhiio,53.440967,-113.482133,"(53.44096743516369, -113.48213264862058)",1,POINT (-113.48213264862058 53.44096743516369)
Major Retail Store,HOLLICK KENYON SOBEYS,5119 - 167 AVENUE NW,162862439-001,ISSUED,"Sep 27, 2021","Oct 29, 2022",,2340,Hollick-Kenyon,Dene,53.627421,-113.41423,"(53.627420951511674, -113.41422974072233)",1,POINT (-113.41422974072233 53.627420951511674)
